Category,Code,Description,Patron Count,SIS Score,Manual Score
Likely SIS/Automatic,Undergraduate,Undergraduate student,50308,3,0
Likely SIS/Automatic,Gradstudent,Graduate student,6805,2,0
Likely SIS/Automatic,Staff,Staff,2572,1,0
Likely SIS/Automatic,Faculty,Faculty,1213,1,0
Likely SIS/Automatic,Adjunct,Adjunct,205,1,0
Likely SIS/Automatic,FacultyStaff,Faculty and Staff,171,2,0
Likely SIS/Automatic,HELINUndergraduate,HELIN Undergraduate,3,2,0
Likely SIS/Automatic,VisitingFaculty,Visiting Faculty,1,1,0
Likely Manual/Special,ILL,ILL,3,0,1
Uncertain,Other,Other,871,0,0
Uncertain,RIResident,RI resident,475,0,0
Uncertain,AdHoc,AdHoc,27,0,0
Uncertain,Internal,Internal,6,0,0
Uncertain,Reserves,Reserves,3,0,0
Uncertain,HighSchool,High School,2,0,0
Uncertain,InternationalScholar,International Scholar,1,0,0
Empty,999,Default,0,0,0
Empty,VisitingGraduate,Visiting Graduate,0,1,0
Empty,UndergraduateInRhode,Undergraduate InRhode,0,2,0
Empty,HELINFacultyStaff,HELIN Faculty and Staff,0,2,0
Empty,HELINGradStudent,HELIN Grad Student,0,1,0
Empty,URIExtraPatron1,URI Extra Patron 1,0,0,0
Empty,URIExtraPatron2,URI Extra Patron 2,0,0,0
Empty,URIExtraPatron3,URI Extra Patron 3,0,0,0
Empty,URIExtraPatron4,URI Extra Patron 4,0,0,0
Empty,URIExtraPatron5,URI Extra Patron 5,0,0,0
